Time,Name/Nickname,Gender,Age,Maximum rating in Dota,Current Dota rating,Number of Hours ingame (atleast approximate),How many games do you play per week on average?,My mood worsens if I don't play Dota 2 for a long time,I spend almost all my free time on Dota 2,I often play more than I need to because I can't stop (register a new game),"When I play Dota, I'm completely focused on it (I don't play ""for fun"")",Every week/month I spend more time in Dota than before,"I often regist the next game despite discomfort (I can play hungry, sleepy, not feeling well, etc.)",I don't tell family/friends about the number of hours I spend in Dota,Dota lets me forget about stress and life problems irl,"Due to the number of hours spent in the game, I study / work / perform other tasks worse",Every game in DotA I play to win.,"I often play DotA pho fan - I'm interested in the process of the game itself (I try different builds, new heroes, bundles, etc.)","If my teammates frankly ruin the game, I can ruin them in response",I can pour out of the game / get into the amulet if something goes wrong,I have a specific goal - to upgrade the birds (for example: get 6k mmr or a medal of the lord / devine / titan),I play dota to win,"In DotA, too much depends not on me and my game","If I lose, then this is most often due to the bad game of teammates","If I had a strong team in every game, I would almost never lose",My possible pts is much bigger than my actual one,I have been sitting on the same rating for a long time without any visible progress,I often lose my desire to play when my teammates play badly,"MMR is just a number, it does not show the player's real skill","Write down the three heroes that you have played the most games on, the number and win rate on these heroes (for example: Pudge, 152 games, 56%):"
2021/11/08 3:57:26 PM GMT+3,https://steamcommunity.com/profiles/76561199127779009/,?,16,3210,3210,3? ????? (????? ? 10 ???),11-20 ??? (????? ?????? ???? ?? ????????? ???),3,3,2,4,1,1,3,2,2,5,3,1,1,4,4,2,2,3,3,2,1,3,"????, 57 ????, 59.6% / ??????, 19???, 63% / ?????, 21 ????, 61.9% (? ?????? ?????? ?????? ????? ?????? , ???????? ?? ?????????? ?????. ???? ?? ????? ????)"
2021/11/08 3:57:27 PM GMT+3,Druidcuka,?,16,600,??????????????,1500,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,4,4,2,1,5,5,5,4,2,4,1,1,4,4,2,4,5,5,1,4,1,"??????? 150 55%
????? 250 60%
????? 120 58%"
2021/11/08 3:57:35 PM GMT+3,GOOSE,?,26,2000,2000,1000,20-30 ??? (?????? ???? ?? ????????? ???),4,5,4,5,4,3,4,3,3,5,1,2,1,5,5,3,3,5,4,1,4,1,"Storm Spirit  62 59.68%; Void Spirit 52 67.31%; Templar Assassin 48 64.58%
"
2021/11/08 3:57:41 PM GMT+3,trusstell,?,16,1700,1590,1400,11-20 ??? (????? ?????? ???? ?? ????????? ???),4,4,5,3,2,5,4,5,5,3,2,2,1,5,4,4,2,5,5,4,4,1,"???? ????, 720 ???, 54%. ???????, 139 ???, 59%. ????, 118, 49% "
2021/11/08 3:57:43 PM GMT+3,zxczxczxc,?,18,5500,5330,6000,?????? 30 ??? (?? ????? ???????? ?????? ????),3,4,1,4,1,3,5,3,2,4,2,4,5,5,5,5,4,5,5,5,5,4,dawnbreaker (63%) nyx (63.3%) axe(54.8%)
2021/11/08 3:57:44 PM GMT+3,????/Komissar,?,31,2950,1500,2500,1-5 ??? (?? ???????? ????? ???? ?????),1,1,4,3,1,2,1,4,4,4,1,4,1,5,5,1,2,2,2,5,1,1,Vk 400+ ??? 56.7 ?????? 350+ ??? 53.5  ???? 200+ 50%
2021/11/08 3:57:46 PM GMT+3,????,?,19,4300,3300,7000,20-30 ??? (?????? ???? ?? ????????? ???),3,3,3,4,3,3,3,5,3,4,2,4,2,4,4,2,2,2,3,2,4,1,"????? 230 ,56%
???????? 150 67%
??????? 180 58%"
2021/11/08 3:57:53 PM GMT+3,???????,?,18,1800,1780+,1369,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,3,1,2,2,2,2,1,5,2,1,1,1,2,2,2,2,3,2,5,??? 100+ 55+%
2021/11/08 3:58:02 PM GMT+3,RiMac,?,18,520,420,722.2,1-5 ??? (?? ???????? ????? ???? ?????),2,3,2,3,2,1,1,1,2,4,2,4,2,3,4,4,4,4,5,5,5,5,"Anti-Mage - 122, Nature Prophet - 90, Riki 70"
2021/11/08 3:58:07 PM GMT+3,???,?,17,2800,?? ?????,2?,20-30 ??? (?????? ???? ?? ????????? ???),2,1,3,1,1,1,5,3,5,1,5,1,1,1,3,4,1,5,1,5,5,1,"??,100+ ???, 80 ????????? ??? ????"
2021/11/08 3:58:14 PM GMT+3,????,?,24,2? ???,980 ???,4-6?,6-10 ??? (???? ???? ? ?????? ?????????-????),2,2,2,3,1,3,1,3,2,3,4,1,1,2,2,3,3,2,5,4,1,3,"????: 214 ???, 59%; ??????: 124 ????, 52%; ??: 93 ????, 45% (?? ???? ??? ??????? ????? ?? ??)"
2021/11/08 3:58:16 PM GMT+3,????????,?,23,4310,4310,1000,1-5 ??? (?? ???????? ????? ???? ?????),3,2,4,4,4,2,4,1,4,4,2,2,1,4,4,2,2,4,3,2,2,2,"????, 180 ??? 74%, ??????? 93 ???? 56%, ??? 40 ???? 62,5%"
2021/11/08 3:58:17 PM GMT+3,???????? ?????????,?,18,4100,3800,1500,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,3,3,2,2,5,3,3,4,3,1,2,4,4,5,2,4,3,2,1,2,???? 125 65% ??????? 83 62% ?????????? 57 55%
2021/11/08 3:58:18 PM GMT+3,oaiwii,?,20,3300,2700,3000,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,5,3,3,1,5,5,5,1,5,1,3,5,5,5,3,2,4,5,5,5,1,"??, 435 ???, 46 %. ????, 343 ???, 55%. ??????, 277 ???, 54%"
2021/11/08 3:58:20 PM GMT+3,?????,?,23,800,460,1200,1-5 ??? (?? ???????? ????? ???? ?????),3,3,1,3,3,1,3,5,2,3,4,3,1,3,5,4,3,4,4,5,4,5,"????, 150 , 60%: "
2021/11/08 3:58:27 PM GMT+3,Jubka ?????,?,15,3960,3940,2700,20-30 ??? (?????? ???? ?? ????????? ???),3,4,2,4,3,3,2,5,4,4,2,2,3,5,5,1,2,1,3,2,3,2,"??????????, 350 ??? , 66% . ??????, 128 ??? , 65% . ???? , 79 ??? , 60%"
2021/11/08 3:58:28 PM GMT+3,Fisting anal ?? 300$,?,19,1600,1280,2000,6-10 ??? (???? ???? ? ?????? ?????????-????),3,5,5,5,1,5,5,5,5,4,4,1,1,5,5,1,1,5,3,5,5,3,"????? 89 49%, ????? 76 51%, ???? 65 50%(????? ?????) "
2021/11/08 3:58:31 PM GMT+3,LAUS,?,21,3500,2720,<5000,6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,1,4,1,2,1,1,3,5,1,1,1,5,5,1,1,1,2,1,3,3,"?? 465 57.6%, Riki 214 58,9%, DrowRanger 245  56,3%  ???? ?? ??????????? ? ????? ???-?? ????? ? ???? , ?? ????? ? ????????? ????? "
2021/11/08 3:58:34 PM GMT+3,Rehont,?,24,3970,3800,5500,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,2,4,3,1,5,5,4,2,4,2,1,1,2,5,2,3,2,2,4,4,2,"????,288 ????, 54%, ???? 170 ???, 51%, ?? 110 ???, 53%"
2021/11/08 3:58:40 PM GMT+3,???? / cloud,?,14,3800,2900,2800,20-30 ??? (?????? ???? ?? ????????? ???),4,3,2,4,3,4,3,5,2,5,2,2,1,5,5,2,2,4,4,2,1,3,"???? 200 ??? , 62%      Terrorblade 77 , 53%     ?????? 115 ,58%"
2021/11/08 3:58:48 PM GMT+3,??????????,?,22,2200,?? ????????,2309 ? ?????? + 1700 ??? ??? ???????? ???,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,2,3,4,2,1,5,5,3,4,4,3,2,1,3,3,2,2,3,3,2,3,"(Mirana, 69, 52%); (Rubick, 65, 47%) ; (Sand King, 63, 43%);"
2021/11/08 3:58:52 PM GMT+3,Jokey228331,?,19,2100,1300,1300,20-30 ??? (?????? ???? ?? ????????? ???),4,3,3,3,3,2,4,4,5,3,4,3,2,2,3,3,3,4,3,4,5,3,??????????? 80 ??? 62% ???? ?????? 30 ??? 65% ???? 30 ??? 55%
2021/11/08 3:58:56 PM GMT+3,Arnar Þórðarson(?????) ,?,17,1130,1040,2893,11-20 ??? (????? ?????? ???? ?? ????????? ???),4,3,3,2,3,5,1,4,4,2,3,1,1,2,2,3,2,3,5,5,2,4,"?????(58.9% ??? 204 ????) 
????(54,3% ??? 350) 
????(55.6% 81)
??????, ???????. ? ?????????? ?????, ? ?????? ????? 539 ???????? ? winrate ? (51.9%) ?? 3134 ???, ????? ?? ?????? ????. 
?????? ? ???? ?????, ????? ??? ??????? ????????? ?? ??????, ?? ?? ? ???, ? ?????? ?????????? ??????? ?? ?? ?????????. ????? ?? ????? ?????? ?????. ????? ????? ????? ???????.
Love,
??????? (?????) "
2021/11/08 3:59:07 PM GMT+3,Asco5900,?,19,3400,3100,6000,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,3,2,4,2,1,3,4,4,3,3,4,1,3,3,2,3,1,3,2,4,3,"Phantom Assasin 241 63%, Sniper 208 51%, Lion 202 48%"
2021/11/08 3:59:12 PM GMT+3,?????/????????,?,27,1200,150,1000,6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,4,1,1,1,1,5,1,5,1,5,3,1,5,5,1,5,1,3,5,1,?? ????? ?????
2021/11/08 3:59:24 PM GMT+3,Starboy,?,31,????? 5(3100),2750(????? 4),"4,4?",?????? 30 ??? (?? ????? ???????? ?????? ????),2,4,2,5,3,2,3,5,3,5,1,1,1,4,5,5,4,2,4,4,5,4,"Mk 660???,56,7%
?????? 275???, 46,9%
??? 179???, 60.9%"
2021/11/08 3:59:27 PM GMT+3,notEvil,?,22,4200,2520,+- 9-11? ?? ?????? ????????? ,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,3,4,4,3,2,2,5,1,4,3,1,1,3,3,2,2,3,3,2,1,3,"Dark Willow 144 50%, Grimstroke 83 38.55%, Undying 75 60%"
2021/11/08 3:59:34 PM GMT+3,main_machins,?,24,700,200,200,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,3,3,1,1,1,2,1,5,3,1,1,4,5,2,2,3,3,3,1,1,"????? ? ?????(? ???? ?? ????? ????? ?????? ? 700 ?? 200???) 42%
???????? ~40??? 56%
????? ~40??? 60%"
2021/11/08 3:59:37 PM GMT+3,??????????,?,20,2400,1800,2000,6-10 ??? (???? ???? ? ?????? ?????????-????),3,2,4,4,2,4,4,5,3,4,2,3,1,1,4,2,2,5,3,4,5,3,"?????, 106 ???, 66%
?????, 85 ???, 47,1% (?? ?????????, ? ? ??? ????? ????????? ?????? ?????)
????, 55 ???, 56,4%"
2021/11/08 3:59:38 PM GMT+3,Brazzes ,?,32,3600,2200,6000,20-30 ??? (?????? ???? ?? ????????? ???),2,2,2,2,3,2,4,3,1,5,4,1,1,5,5,4,4,5,1,5,5,4,Wright kibg
2021/11/08 3:59:39 PM GMT+3,Zz_storm_zZ,?,26,3100,2530,3400,6-10 ??? (???? ???? ? ?????? ?????????-????),3,4,4,3,2,4,5,3,5,4,3,2,1,2,4,2,4,4,2,5,5,2,"Disruptor, 122, 58%.  Witch Doctor 111, 53%, 	Ogre Magi, 129, 49%"
2021/11/08 3:59:41 PM GMT+3,??????,?,20,4300,3000,3500,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,3,4,5,3,4,5,1,4,5,2,2,2,3,5,5,4,5,4,5,5,2,"???? 95 ??? 64,2%, ????? 81 ???? 63%, ?????? 56 ??? 62,5%"
2021/11/08 3:59:42 PM GMT+3,carnage ,?,17,670,640,400+-,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,3,2,4,1,5,5,5,1,4,5,3,4,5,4,3,3,2,1,1,3,3,"lifestealer 104 45.2%,Tiny 16 56.3% bloodseeker 55 36.2"
2021/11/08 3:59:42 PM GMT+3,nasvay,?,15,1080,1080,700,20-30 ??? (?????? ???? ?? ????????? ???),2,2,4,3,2,1,2,1,3,4,3,4,2,3,4,3,3,4,5,1,3,4,"?????? 47 67%, ?? 38 46%, ?? 27 54%"
2021/11/08 3:59:46 PM GMT+3,Henup,?,15,300,110,500,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,4,3,4,5,2,4,4,2,4,2,1,2,4,3,3,1,5,5,4,4,2,"????? 113 ???, 52.2%. ????? 44 ????, 53.3%"
2021/11/08 3:59:50 PM GMT+3,Fiontier,?,17,1500,1120,2000,6-10 ??? (???? ???? ? ?????? ?????????-????),2,2,2,1,1,1,5,4,3,3,4,2,1,2,3,2,2,2,4,5,2,4,"Lycan - 80 ; 58.75%   Lone Druid - 59 ; 61.02%   Dragon knight - 57 ; 54,39%"
2021/11/08 3:59:51 PM GMT+3,??????,?,17,3900,3500,5000,6-10 ??? (???? ???? ? ?????? ?????????-????),4,2,3,3,1,2,3,4,4,3,3,1,1,1,2,3,3,4,4,2,3,4,"????, 300, 53%. ?????, 170, 70% (? 1000 ?? 2500 ?? ??? ????). ??????????, 200, 56%."
2021/11/08 3:59:53 PM GMT+3,therosuagem,?,16,3300,2900,2700,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,3,1,4,1,1,1,5,5,5,3,2,1,5,5,4,1,5,3,5,5,1,"?? 56%, ???? 57%, ?? 60%"
2021/11/08 3:59:55 PM GMT+3,sqaut,?,16,4000,3800,6000,20-30 ??? (?????? ???? ?? ????????? ???),3,2,3,5,2,4,1,4,1,5,4,3,1,4,4,3,4,4,5,2,3,3,"???(300, 70%) ??(200, 50%) ??????(300,80%)"
2021/11/08 4:00:00 PM GMT+3,Abadon330,?,17,2500,1500,1086,1-5 ??? (?? ???????? ????? ???? ?????),3,1,1,2,2,1,3,3,2,1,4,1,1,2,2,3,4,4,5,3,4,5,"?? ????? ???? ????? ? ???????? ????? => ????? ?? DB ?? ???????, ?????? ??? ?? ?????
?? ? ???? ????? ?????? ???????? ?? DB: 
dazzle 10 ??? 70%;Io 10 ??? 40%; Ogr mage 7 ??? 85.71%"
2021/11/08 4:00:01 PM GMT+3,rasp,?,20,1100,800,1000,1-5 ??? (?? ???????? ????? ???? ?????),1,1,2,4,1,1,1,3,2,4,3,1,1,3,3,3,3,3,4,3,2,5,"???? - 29 ???, 62%; ???????? - 24 ????, 46%; ??? - 23 ????, 70%; ???????? - 23 ????, 61%"
2021/11/08 4:00:02 PM GMT+3,??????,?,14,1500,1500,800,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,3,1,4,2,1,1,1,3,4,3,1,1,1,2,1,1,3,1,1,1,1,"???? 86 ??? 54,7%,?? 71 ???? 56,3%,???? 32 ???? 65,6%"
2021/11/08 4:00:02 PM GMT+3,?????,?,17,550,490,350,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,3,1,5,1,1,1,3,1,5,4,1,1,4,5,4,3,3,2,3,4,1,"??,40 ???,57%
Tiny,20 ???,55%
??? ????,16 ???,80%
"
2021/11/08 4:00:14 PM GMT+3,gula,?,25,3300,3300,1200,1-5 ??? (?? ???????? ????? ???? ?????),1,2,1,3,1,2,3,3,3,4,4,3,1,3,5,2,2,2,4,2,2,4,"?????, 40, %56 ??????? 39, %57 ??? 20, 60%"
2021/11/08 4:00:23 PM GMT+3,Sorka,?,13,300,210,400,20-30 ??? (?????? ???? ?? ????????? ???),3,4,4,4,4,2,1,4,5,3,4,2,1,3,4,2,2,4,2,5,5,5,"?????, 17 ???, 23% / ??????, 16 ???, 31% / ???????, 6 ???, 83%"
2021/11/08 4:00:30 PM GMT+3,????/???????-????????,?,18,1700,1110,1000,6-10 ??? (???? ???? ? ?????? ?????????-????),3,2,1,3,2,2,5,4,1,5,3,2,1,5,5,3,3,5,5,4,1,2,"??????,80 ??? 53%,???? 30 ??? 51%,,???????? 43 ???? 32%"
2021/11/08 4:00:31 PM GMT+3,Red,?,21,2600,1040,4000,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,2,4,3,2,5,4,5,5,4,1,5,2,2,4,4,2,2,3,5,4,3,"Lina 121, 50,4%
Monkey King, 58, 41,4%
Drow Ranger, 48, 47,9%"
2021/11/08 4:00:45 PM GMT+3,Don`t_Worry_Just_Drink,?,31,3800,1330,6000,?????? 30 ??? (?? ????? ???????? ?????? ????),3,5,4,5,1,5,3,5,1,5,1,2,1,4,5,3,3,3,5,5,3,1,"????? (352 - 49.43%) 
???????? (212 - 50%)
?????? (199 - 52.26%)
??: ???????? ????????? ??? ?????? ?????????, ??????? ???? ?????? ??????? ???????. ???? ? ???, ??? ??? ??? ?????????? ???? ?? ????????, ? ????????, ??????? ? ???, ??? ? ????????? ????????? ? ?????. ? ????? ???????????, ???-????? ????? ?????? ????? ? ?????. ?????? ? ???? ?????? :)"
2021/11/08 4:01:05 PM GMT+3,Gadza,?,15,????? ????? 280)))) ??? ?????,?? ? ?????? ??? ?????? ???? ?? 200,350,6-10 ??? (???? ???? ? ?????? ?????????-????),1,3,1,5,2,2,2,1,2,5,1,1,1,1,5,5,2,5,2,5,2,3,"??? ???? ???? ??????? ????? ??? ????. ? ????? ?? ??????, ?????? ? ?????? ?? ??????. ? ?????? ????? ???? ? ?? ???? ?????? ??????. ?? ????? ? ??????? ???? ???? ???? ? ?? ???? ?????? ?? ? ?? ??????? ? ???? ? ????? ???? ?? ????????? ?????? ??????. ? ???? ? ????????? ????? ??????? ?? ????? ? ?? ??????. ?? ? ? ????? ??????? ????."
2021/11/08 4:01:10 PM GMT+3,rundevilsseed,?,17,2400,2200,2500,11-20 ??? (????? ?????? ???? ?? ????????? ???),4,2,4,3,1,5,2,3,4,4,2,4,2,5,5,2,3,3,5,3,3,3,"Invoker (191 ????, 42%); Slark (93 ????, 49%); Bloodseeker (81 ????, 48%)"
2021/11/08 4:01:18 PM GMT+3,Rikkola,?,17,600,400,800,?????? 30 ??? (?? ????? ???????? ?????? ????),3,4,2,1,1,5,1,4,2,4,4,3,2,1,4,3,2,4,1,5,4,4,"??????, 46 ???, 47,8%; ???????, 45 ???, 42,2%; ?????, 18 ???, 72,2%"
2021/11/08 4:01:22 PM GMT+3,?????,?,19,4500,4220,5550,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,2,2,5,2,1,5,2,1,4,1,1,3,5,4,3,3,3,4,3,5,4,?? 207 ??? 52.7%; ???? 181 ???? 55.8%; ??????? 166 ??? 37.3%
2021/11/08 4:01:45 PM GMT+3,)??????? ?? ??????(,?,16,5120,5000,2950,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,4,5,4,3,5,1,1,5,5,1,2,1,5,5,3,3,5,5,4,5,3,"??(580 ???, 61%), ????(307 ???, 53%), ??????(201 ???, 59%)"
2021/11/08 4:01:46 PM GMT+3, ,?,18,1310,1220,989,6-10 ??? (???? ???? ? ?????? ?????????-????),3,1,1,3,4,4,1,2,4,2,2,1,1,4,4,5,2,4,1,5,1,1,"???????, 60 ???, 36% "
2021/11/08 4:01:48 PM GMT+3,Starskaut,?,15,????? 1600,????? 1600,1600,11-20 ??? (????? ?????? ???? ?? ????????? ???),4,4,3,2,3,4,2,4,1,3,3,1,2,3,4,1,3,4,5,2,3,4,"????????? 43 ???? 60 ???????
?????? 28 ??? 67 ???????
????????? 26 ??? 80 ???????
(????? ????? ? ????????????) 
"
2021/11/08 4:02:06 PM GMT+3,Danrum,?,17,??????????(?????? ????? ??????),??????????,300(120 ???),20-30 ??? (?????? ???? ?? ????????? ???),2,4,1,4,3,1,2,5,3,4,2,4,5,5,5,3,3,5,5,3,5,4,"????-??? - 21 ????,57%

?? - 15 ???,46%

????? - 13 ???, 46%

(?????? 30-40 ??? ????? ? ??????)"
2021/11/08 4:02:11 PM GMT+3,???????,?,21,1100,520,3000,6-10 ??? (???? ???? ? ?????? ?????????-????),2,2,2,4,1,2,3,3,3,5,4,1,1,5,5,4,4,5,2,5,2,4,"??????,151 ????,55%
?????,106 ???, 58,5%
??????,44 ????, 50%"
2021/11/08 4:02:15 PM GMT+3,??????/cerg1812 (???? ???? ?????),?,19,1250,730,2241 ???,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,5,1,2,3,2,1,4,3,4,5,1,1,5,4,5,1,5,5,2,3,1,"????? (421 ????, ??????? 59.38%), ???? (112 ???, 48%), ????? (59 ???, 44%) 

?? ????? ?????? ???????: ???????? ????? (??????) ????? ? ????? ?? 3-4 ???????? ?? ?????? ? ?????? ??????, ?????? ?? ? ????? ????????? ? ????? ? ????? ??????? 1 ???????. ????? ???????, ?????? ??? ????? ???????? ????? ? ???? ?? ???1: ?? (37 ???, 59.46%, ????? (73% ?? 15 ???) ? ??????? (47% ?? 21 ????). ??? ?? ???? ?????? ???????? ?? 10-30 ?????? ?????? ?? ??????, ?? ???????? ??? ?????? ??? ??? ??? ? ?????, ????? ???-?? ???????"
2021/11/08 4:02:15 PM GMT+3,Wewe#BloodRust,?,21,920,480,"1501,2",6-10 ??? (???? ???? ? ?????? ?????????-????),1,3,3,5,1,1,5,5,3,5,3,3,2,5,5,3,3,4,5,5,4,3,"WK 59.8% 179 ???, Sniper 41.8% 91 ????, Pudge 54.5% 77 ???"
2021/11/08 4:02:20 PM GMT+3,????? ????????,?,16,1500,1200,400,20-30 ??? (?????? ???? ?? ????????? ???),2,4,5,5,2,5,5,3,4,5,1,1,2,5,5,5,3,5,3,2,2,1,"?????, 58, 53% ??????????, 31, 58% ???? 28, 39%"
2021/11/08 4:02:26 PM GMT+3,EWV,?,17,2500,2200,12000,6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,2,2,1,1,1,1,1,3,3,2,3,2,5,2,2,5,1,5,5,1,"????, 301, 56%| ????, 142, 53%| ??, 73, 57%"
2021/11/08 4:02:33 PM GMT+3,Tharron,?,20,2700,2500,~2300,6-10 ??? (???? ???? ? ?????? ?????????-????),5,2,4,5,2,4,2,5,5,5,2,5,4,2,5,4,3,3,1,1,5,1,"?????????, 101 ??? , 50.50%; ??, 85 ???, 56.47%; Shadow shaman, 52 ??? , 52%"
2021/11/08 4:02:38 PM GMT+3,eblat,?,18,980,980,500,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,2,4,2,3,5,2,2,4,2,1,2,1,4,3,2,4,3,4,5,4,"??? 15 - 60%, ????? 13 - 69.2%, ???? 11 - 27% (??? ???????? 5 ???) "
2021/11/08 4:02:39 PM GMT+3,NudaPolu4aetsa,?,16,2800,"???? 2790 ????? 2500 P.S ??????? ???? +500 ??? ?? 1 ????, ????? ?????? ?????? ?? ??? ?? ?????, ?.? ?????????????? ????, ??? ???? 2? ??? ? ????? ????? ?? ???-?? ??? ?? ??????? ??????? ????",3500,20-30 ??? (?????? ???? ?? ????????? ???),2,3,3,5,3,2,3,4,2,5,1,2,1,5,5,4,2,2,4,2,2,1,"1)Void spirit 110 63.6%(????? ???????, ????? ? ?????????? ?????? ?? ???, ?????? ???????? ????????, ???????)
2)Winter Wywern 90 60% (?????? ????? ??) 3) Oracle 78 69,2% (?????? ????? ???????? ?????, ????????? ????? ????? ???? ? ??? ???????) 
P.S ???????? ?????? ??? ???????? 3 ??????, ?.? ????? ????? ??? ???? ????? ???? ? ??????? ??????????"
2021/11/08 4:02:49 PM GMT+3,????????,?,21,3600,330?,3500,6-10 ??? (???? ???? ? ?????? ?????????-????),1,3,4,3,2,4,5,4,4,4,4,3,1,3,3,2,4,5,5,5,5,5,"?????, 102, 72%
??????????, 110, 58%
????, 101, 51%"
2021/11/08 4:02:51 PM GMT+3,??? ???????????,?,19,1500,1000,2?,6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,5,5,2,3,1,4,5,5,3,1,1,4,5,4,2,4,5,5,2,3,"1)????, 279 ,50%. 2)?????, 156, 56% 3) ????, 114, 70%"
2021/11/08 4:02:53 PM GMT+3,ArsenLegenda,?,16,100,70,200,1-5 ??? (?? ???????? ????? ???? ?????),1,2,4,3,1,1,2,4,1,4,5,1,1,1,4,5,2,2,1,5,2,5,"Drow ranger(19, 50%)
Antimage(10, 82%)
Bloodseeker(14,80%)"
2021/11/08 4:02:57 PM GMT+3,Mr_Xlopche,?,17,"0???, ",?????? ?????? ??????? - 0,200,20-30 ??? (?????? ???? ?? ????????? ???),1,2,1,1,3,2,1,1,1,5,4,1,1,1,3,3,1,1,1,3,1,3,"????(18/61%) ??????(14/57%) ???(11/83%(???? ?????????))
???? ???? - 5"
2021/11/08 4:03:02 PM GMT+3,?????,?,17,1590,1270,"2017 ?? 2020 ???? ?? ????, ?? ????? ? ?????? 2021 ????? ?????? ????????? ? ?????? ???? ?????? ??? ( ????? ? ???? ? ????? ? ???? ?? ???? ????????? ????????? 4 ???. ????? ????????)",6-10 ??? (???? ???? ? ?????? ?????????-????),3,4,3,4,5,5,4,5,5,4,4,1,1,5,5,4,4,5,5,4,3,5,"Shadow Demon, 100 ???, 42%;  Windranger, 86 ???, 60%;  "
2021/11/08 4:03:09 PM GMT+3,Ecco2k,?,20,2800,1500,6000,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,3,4,3,4,3,3,4,4,4,4,1,2,5,5,1,2,2,5,2,3,3,"Juggernaut +- 100 ???, ????? 50%, Dragon Knight +- 100 60%"
2021/11/08 4:03:18 PM GMT+3,doodllez,?,15,2900,2830,1900 ????????,6-10 ??? (???? ???? ? ?????? ?????????-????),2,3,2,3,2,5,2,3,2,4,3,1,1,4,1,3,3,4,3,4,5,4,"??????, 189 ????, 65%; ??????, 68 ????, 40%; ???????, 67 ????, 55%"
2021/11/08 4:03:22 PM GMT+3, nikitos1387,?,32,2500,?? ????,3632,6-10 ??? (???? ???? ? ?????? ?????????-????),3,4,3,5,1,1,5,5,5,5,3,1,1,1,5,3,2,2,3,5,3,4,????? 68 ??? 64% ???? 92 ??? 60% ????????? 68 ??? 60%
2021/11/08 4:03:31 PM GMT+3,????????? ,?,12,1530,1510,2000,?????? 30 ??? (?? ????? ???????? ?????? ????),3,2,1,5,1,1,5,5,2,5,2,1,1,5,4,1,1,1,3,2,5,1,Broodmother  153 ???? 62% Tinker127 ???  51% Huskar 82 ???? 72%
2021/11/08 4:03:36 PM GMT+3,Matvei,?,27,2310,2140,4700,1-5 ??? (?? ???????? ????? ???? ?????),3,1,1,3,1,1,1,5,1,3,4,2,1,4,4,2,2,2,3,4,1,4,"????, 782 ????, 55.37%
??????,  748 ????, 52.41%
?????, 292 ????, 55.82%"
2021/11/08 4:03:42 PM GMT+3,?????? ?????????,?,14,1100,900,1000,20-30 ??? (?????? ???? ?? ????????? ???),3,4,4,4,5,2,4,5,4,5,1,3,4,5,5,1,1,5,5,1,3,2,"WK 200 70%, Lucan 60 ??? 69%, Brudka 30 59%"
2021/11/08 4:03:42 PM GMT+3,??????,?,16,2000,1700,2700,6-10 ??? (???? ???? ? ?????? ?????????-????),3,3,3,2,1,1,3,4,5,4,3,4,3,2,3,4,3,2,3,2,3,2,"????, 102 ????, 58%"
2021/11/08 4:03:50 PM GMT+3,Ka1mon,?,27,2000,800,2600,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,3,2,5,2,2,1,2,1,5,1,1,1,5,5,1,3,5,5,3,3,3,"(Tidehunter: 76 ???, 56.58%), (Lich: 75 ???, 50.67%), (Jakiro: 56 ???, 51.79%)"
2021/11/08 4:03:55 PM GMT+3,?????? ??????,?,17,1600,1300,2500,20-30 ??? (?????? ???? ?? ????????? ???),3,5,5,4,2,5,5,5,5,5,2,1,4,5,5,5,2,4,5,5,5,5,"?????? ??????, ~220 ????, 64%"
